Название книги,Имя автора,Издательство,Цена,Старая цена,Скидка
Цифровизация процессов управления  медико-гигиеническими рисками на производственных предприятиях,Шипилов Игорь Викторович,Наш круг,1 461,2 435,40
GPT-3. Руководство по использованию API Open AI,"Кублик Сандра, Сабу Шубхан",ДМК-Пресс,1 340,2 233,40
,,,0,Нету старой цены,Нету скидки
Проектирование информационно-библиотечных систем. Учебник,Рахматуллаев Марат Алимович,ИНФРА-М:Высшее образование,2 146,3 576,40
Docker Compose для разработчика,Гадзурас Эммануил,ДМК-Пресс,2 009,3 349,40
Безопасность ASP. NET Core,Венц Кристиан,ДМК-Пресс,2 931,4 885,40
Разработка интеллектуальных систем для обработки сигналов с датчиков давления. Монография,Пылов Петр Андреевич и др.,Инфра-Инженерия,1 038,1 730,40
Linux. Командная строка. Лучшие практики,Барретт Дэниел Джей,Питер:Бестселлеры O`Reilly,1 701,2 181,22
DAX для профессионалов. Теория и практика. Выведи свои аналитические навыки в Microsoft Power BI,"Розема Мишель, Влотман Хенк",ДМК-Пресс,2 931,4 885,40
Django 4 в примерах. Разрабатывайте мощные и надежные веб-приложения на Python с нуля,Меле Антонио,ДМК-Пресс,4 187,6 979,40
Введение в автоматизированное машинное обучение (AutoML),Хуттер Франк и др.,ДМК-Пресс,2 512,4 187,40
Java. Руководство для начинающих,Шилдт Герберт,Вильямс,3 227,5 378,40
Анализ алгоритмов. Активный обучающий подход,Макконнел Джеффри Дж.,Техносфера:Мир программирования,435,725,40
Технология Java Card для смарт-карт. Архитектура и руководство программиста,Чен Жикун,Техносфера:Мир программирования,274,456,40
Методы анализа логических корреляций для САПР цифровых КМОП СБИС,Гаврилов Сергей Витальевич,Техносфера:Мир цифровой обработки,232,386,40
,,,0,Нету старой цены,Нету скидки
Цифровая обработка сигналов с приложениями для геофизики и экспериментальной механики. Учебник,Гетманов Виктор Григорьевич,Техносфера:Мир цифровой обработки,916,1 527,40
Цифровая обработка изображений,"Гонсалес Рафаэл С., Вудс Ричард Е.",Техносфера:Мир цифровой обработки,1 092,1 820,40
Цифровые видеоинформационные системы. Теория и практика,"Дворкович Виктор Павлович, Дворкович Александр Викторович",Техносфера:Мир цифровой обработки,1 344,2 240,40
Цифровая обработка сигналов атомарными функциями и вейвлетами,"Кравченко Виктор Филиппович, Чуриков Дмитрий Викторович",Техносфера:Мир цифровой обработки,820,1 366,40
JavaScript с нуля до профи,Свекис Лоренс Ларс и др.,Питер:Библиотека программиста,2 268,2 908,22
Python для финансистов,Хилпиш Ив,Питер:Бестселлеры O`Reilly,2 057,2 637,22
Новые возможности JavaScript. Как написать чистый код по всем правилам современного языка,Краудер Ти Джей,Бомбора:Мировой компьютерный бестселлер,2 427,Нету старой цены,Нету скидки
JavaScript. Креативное программирование. Учебное пособие для вузов,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,3 013,Нету старой цены,Нету скидки
JavaScript. Креативное программирование. Учебное пособие,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,2 621,Нету старой цены,Нету скидки
Машинно-ориентированные языки программирования. Введение в ассемблер. Учебное пособие,Бунаков Павел Юрьевич,Лань:Компьютеры и программное обеспечение,1 871,Нету старой цены,Нету скидки
Машинно-ориентированные языки программирования. Введение в ассемблер. Учебное пособие,Бунаков Павел Юрьевич,Лань:Компьютеры и программное обеспечение,1 629,Нету старой цены,Нету скидки
Программирование. Лабораторный практикум. Учебное пособие,Рацеев Сергей Михайлович,Лань:Компьютеры и программное обеспечение,1 352,Нету старой цены,Нету скидки
Программирование. Лабораторный практикум. Учебное пособие,Рацеев Сергей Михайлович,Лань:Компьютеры и программное обеспечение,1 175,Нету старой цены,Нету скидки
Программирование. Основы Python для инженеров. Учебное пособие для вузов,"Никитина Татьяна Павловна, Королев Леонид Владимирович",Лань:Компьютеры и программное обеспечение,1 592,Нету старой цены,Нету скидки
Программирование. Основы Python. Учебное пособие для СПО,"Никитина Татьяна Павловна, Королев Леонид Владимирович",Лань:Компьютеры и программное обеспечение,1 386,Нету старой цены,Нету скидки
C++ для IT-профессий. Учебник,Дирк Харди,Фолиант:Учебная литература,2 189,Нету старой цены,Нету скидки
Java для IT-профессий. Учебник,Дирк Харди,Фолиант:Учебная литература,3 676,Нету старой цены,Нету скидки
Создание микросервисов,Ньюмен Сэм,Питер:Бестселлеры O`Reilly,3 050,3 910,22
Усовершенствованные структуры данных,Брасс Петер,ДМК-Пресс,3 350,5 583,40
Рекурсивная книга о рекурсии,Свейгарт Эл,Питер:Библиотека программиста,2 268,2 908,22
MySQL по максимуму,"Ботрос Сильвия, Тинли Джереми",Питер:Бестселлеры O`Reilly,2 921,3 745,22
Software. Ошибки и компромиссы при разработке ПО,"Лелек Томаш, Скит Джон",Питер:Библиотека программиста,3 262,4 182,22
